id,project_is_approved
p233245,0.9479533924955348
p096795,0.9234831964864464
p236235,0.9508966501243051
p233680,0.9409033863294656
p171879,0.8327943828299482
p016071,0.9448923401769331
p099906,0.9569761191505574
p200236,0.9328577288325303
p129452,0.8704305229862536
p186652,0.978747913930112
p257992,0.9469384154679557
p055177,0.7301210891990195
p069502,0.44128849484830485
p099455,0.8515401150161646
p226195,0.95834985119438
p048432,0.9748578741240628
p028074,0.9776496450349736
p188220,0.7350062844156939
p213507,0.8745840093826981
p006068,0.6924676797278619
p124112,0.9346545501211189
p190450,0.9545525803839519
p180156,0.9538848550567423
p025868,0.7783440935030748
p134875,0.9074201742101359
p169259,0.9076383365730688
p124445,0.9256499773951731
p090153,0.9348522537470065
p086796,0.8587137899817374
p101412,0.931814451174585
p249795,0.9400548661777615
p185278,0.8735431543388495
p052706,0.9423326662437749
p118380,0.9557653089988001
p258109,0.9436337858855222
p033638,0.9171312915418592
p190269,0.9423994321017579
p166424,0.9082893075611853
p128851,0.9152397079679122
p059448,0.948792194431479
p020036,0.6830371719322444
p241422,0.9305230094683112
p155492,0.856295644881077
p062100,0.9019998269600642
p159786,0.9067272311612768
p144841,0.8320607869538525
p085470,0.832058930303039
p130095,0.5501191242413507
p047018,0.9318188297097603
p016587,0.8632529132603557
p087209,0.7431560333221086
p188130,0.9066262244624038
p101731,0.6847599579691339
p232762,0.984970218488173
p167483,0.8394482518707275
p076351,0.8531963325045094
p185000,0.9695405240157084
p101086,0.8573112181734255
p026220,0.9688039953899434
p028685,0.8831713850132014
p069530,0.9108878196188378
p056829,0.7415975653454707
p047088,0.8820824003423475
p134783,0.9298034148173798
p033569,0.9325794310645804
p066632,0.933244704691685
p249875,0.9681672642750611
p246378,0.9137000293405002
p088359,0.9239093261237263
p068216,0.8668577842717349
p132793,0.9546572201891278
p012075,0.9772174456128526
p034160,0.9688380365431671
p164095,0.7549926152158823
p101374,0.8805462526787702
p179164,0.8038631858673575
p144206,0.902709704723225
p117651,0.7576278092746028
p037059,0.9236020084918515
p156849,0.9436107158380997
p096892,0.9376066185393104
p161212,0.5321382929132354
p099186,0.9032740461345133
p124024,0.8660953116282982
p200265,0.9305037593034937
p034357,0.9420124932669538
p177052,0.42596738307457904
p127983,0.5398068631070628
p257497,0.965913504220023
p017783,0.9570974215536875
p036670,0.9751548141557038
p187035,0.9684515168758377
p251797,0.9164415954992127
p081183,0.9622759697655825
p211028,0.9563680913033361
p197996,0.9650390137168378
p175648,0.9494299483766582
p069955,0.9238827657794241
p126285,0.9181992071845766
p073482,0.6700435108154155
p021363,0.9229990417754232
p018483,0.9510603035001278
p120512,0.9265630942380143
p224623,0.9768123701078826
p046024,0.9597416271099742
p128133,0.9032195092507236
p111612,0.9563391342654672
p216008,0.9519601097557631
p250197,0.6229501480483968
p038264,0.9637584792483891
p037304,0.9366362117839856
p233182,0.8863192434650093
p187950,0.9547489812526528
p194163,0.8790788334707447
p123572,0.9072012102251105
p213676,0.38276625766916733
p242177,0.9653142185017434
p228376,0.8642553696059551
p098358,0.8749868313214906
p208182,0.9338874230950849
p192069,0.9247973433968981
p125208,0.9570528896724528
p068618,0.7528703708413114
p250399,0.9399609592646172
p096146,0.9746143488756394
p014072,0.8607874762762355
p170811,0.7684755206706761
p016865,0.5697523708648353
p000502,0.9586829477251276
p243659,0.9676614307606337
p123641,0.9286694710406229
p179222,0.9232821889374646
p119669,0.9252411021667772
p224232,0.9758889345286264
p113196,0.8502293859275694
p197404,0.9446238176040873
p040348,0.9226031989217806
p220547,0.8810707110727073
p152772,0.7050010100951168
p227843,0.9709868752675888
p243822,0.9345219398038374
p042663,0.8782561024965773
p103616,0.935359725800995
p119315,0.875036714993702
p112683,0.9069518259897726
p134225,0.5222660984037945
p178686,0.7349587548705707
p104414,0.8205284482168619
p196430,0.8848012954128082
p121265,0.9606222906632602
p002111,0.9618090795357158
p048656,0.9090131616829833
p100742,0.8938906441991069
p240945,0.9047424281379607
p196948,0.8001121659102461
p161397,0.9460184886924499
p085333,0.7530983702067642
p051174,0.9000983640633585
p226030,0.9089713121454599
